SyntCat,langlocSN
208_KAN_evDB_20140121a_PL2017,208_KAN_evDB_20140121a_PL2017
209_KAN_evDB_20140224_PL2017,209_KAN_evDB_20140224_PL2017
210_KAN_evDB_20140303a_PL2017,210_KAN_evDB_20140303a_PL2017
211_KAN_evDB_20140303b_PL2017,211_KAN_evDB_20140303b_PL2017
221_KAN_evDB_20140808_PL2017,221_KAN_evDB_20140808_PL2017
223_KAN_evDB_20140820a_PL2017,223_KAN_evDB_20140820a_PL2017
214_KAN_evDB_20141103b_PL2017,214_KAN_evDB_20140310b_PL2017
240_KAN_evDB_20141103a_PL2017,240_KAN_evDB_20141103a_PL2017
227_KAN_evDB_20141201c2_PL2017,227_KAN_evDB_20141021b_PL2017
192_KAN_EvDB_20150211b_PL2017,192_KAN_prodsemphon_04_PL2017
253_KAN_EvDB_20150211a_PL2017,253_KAN_EvDB_20150211a_PL2017
254_KAN_EvDB_20150211c_PL2017,254_KAN_EvDB_20150211c_PL2017
117_KAN_EvDB_20150217c_PL2017,117_KAN_EvDB_20150217c_PL2017
127_KAN_EvDB_20150217a_PL2017,127_KAN_EvDB_20150217a_PL2017
259_KAN_EvDB_20150224c_PL2017,259_KAN_EvDB_20150224c_PL2017
264_KAN_EvDB_20150310c_PL2017,264_KAN_EvDB_20150310c_PL2017