subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
16,263334,1.0000,71,60,27,-50,-8,-20
16,273070,1.0000,70,58,28,-48,-12,-18
16,273071,1.0000,71,58,28,-50,-12,-18
16,273161,1.0000,70,59,28,-48,-10,-18
16,273162,1.0000,71,59,28,-50,-10,-18
16,273253,1.0000,71,60,28,-50,-8,-18
16,273254,1.0000,72,60,28,-52,-8,-18
16,273621,1.0000,75,64,28,-58,0,-18
16,282990,1.0000,71,58,29,-50,-12,-16
16,282991,1.0000,72,58,29,-52,-12,-16
16,283081,1.0000,71,59,29,-50,-10,-16
16,283082,1.0000,72,59,29,-52,-10,-16
16,283173,1.0000,72,60,29,-52,-8,-16
16,302462,1.0000,69,54,31,-46,-20,-12
16,302463,1.0000,70,54,31,-48,-20,-12
16,302554,1.0000,70,55,31,-48,-18,-12
16,302555,1.0000,71,55,31,-50,-18,-12
16,302556,1.0000,72,55,31,-52,-18,-12
16,302557,1.0000,73,55,31,-54,-18,-12
16,304283,1.0000,70,74,31,-48,20,-12
16,312290,1.0000,69,53,32,-46,-22,-10
16,312380,1.0000,68,54,32,-44,-20,-10
16,312381,1.0000,69,54,32,-46,-20,-10
16,312382,1.0000,70,54,32,-48,-20,-10
16,312383,1.0000,71,54,32,-50,-20,-10
16,312384,1.0000,72,54,32,-52,-20,-10
16,312472,1.0000,69,55,32,-46,-18,-10
16,312473,1.0000,70,55,32,-48,-18,-10
16,312474,1.0000,71,55,32,-50,-18,-10
16,312475,1.0000,72,55,32,-52,-18,-10
16,312476,1.0000,73,55,32,-54,-18,-10
16,312477,1.0000,74,55,32,-56,-18,-10
16,312565,1.0000,71,56,32,-50,-16,-10
16,312566,1.0000,72,56,32,-52,-16,-10
16,312567,1.0000,73,56,32,-54,-16,-10
16,312568,1.0000,74,56,32,-56,-16,-10
16,312569,1.0000,75,56,32,-58,-16,-10
16,322208,1.0000,68,53,33,-44,-22,-8
16,322209,1.0000,69,53,33,-46,-22,-8
16,322210,1.0000,70,53,33,-48,-22,-8
16,322300,1.0000,69,54,33,-46,-20,-8
16,322301,1.0000,70,54,33,-48,-20,-8
16,322302,1.0000,71,54,33,-50,-20,-8
16,322303,1.0000,72,54,33,-52,-20,-8
16,322304,1.0000,73,54,33,-54,-20,-8
16,322305,1.0000,74,54,33,-56,-20,-8
16,322391,1.0000,69,55,33,-46,-18,-8
16,322392,1.0000,70,55,33,-48,-18,-8
16,322393,1.0000,71,55,33,-50,-18,-8
16,322394,1.0000,72,55,33,-52,-18,-8
16,322395,1.0000,73,55,33,-54,-18,-8
16,322396,1.0000,74,55,33,-56,-18,-8
16,322397,1.0000,75,55,33,-58,-18,-8
16,322398,1.0000,76,55,33,-60,-18,-8
16,322484,1.0000,71,56,33,-50,-16,-8
16,322485,1.0000,72,56,33,-52,-16,-8
16,322486,1.0000,73,56,33,-54,-16,-8
16,322487,1.0000,74,56,33,-56,-16,-8
16,322488,1.0000,75,56,33,-58,-16,-8
16,322489,1.0000,76,56,33,-60,-16,-8
16,322490,1.0000,77,56,33,-62,-16,-8
16,322578,1.0000,74,57,33,-56,-14,-8
16,322579,1.0000,75,57,33,-58,-14,-8
16,322580,1.0000,76,57,33,-60,-14,-8
16,322581,1.0000,77,57,33,-62,-14,-8
16,322671,1.0000,76,58,33,-60,-12,-8
16,331945,1.0000,68,51,34,-44,-26,-6
16,331946,1.0000,69,51,34,-46,-26,-6
16,332127,1.0000,68,53,34,-44,-22,-6
16,332128,1.0000,69,53,34,-46,-22,-6
16,332129,1.0000,70,53,34,-48,-22,-6
16,332130,1.0000,71,53,34,-50,-22,-6
16,332219,1.0000,69,54,34,-46,-20,-6
16,332220,1.0000,70,54,34,-48,-20,-6
16,332221,1.0000,71,54,34,-50,-20,-6
16,332222,1.0000,72,54,34,-52,-20,-6
16,332223,1.0000,73,54,34,-54,-20,-6
16,332224,1.0000,74,54,34,-56,-20,-6
16,332225,1.0000,75,54,34,-58,-20,-6
16,332226,1.0000,76,54,34,-60,-20,-6
16,332227,1.0000,77,54,34,-62,-20,-6
16,332311,1.0000,70,55,34,-48,-18,-6
16,332312,1.0000,71,55,34,-50,-18,-6
16,332313,1.0000,72,55,34,-52,-18,-6
16,332314,1.0000,73,55,34,-54,-18,-6
16,332315,1.0000,74,55,34,-56,-18,-6
16,332316,1.0000,75,55,34,-58,-18,-6
16,332317,1.0000,76,55,34,-60,-18,-6
16,332318,1.0000,77,55,34,-62,-18,-6
16,332403,1.0000,71,56,34,-50,-16,-6
16,332404,1.0000,72,56,34,-52,-16,-6
16,332405,1.0000,73,56,34,-54,-16,-6
16,332406,1.0000,74,56,34,-56,-16,-6
16,332407,1.0000,75,56,34,-58,-16,-6
16,332408,1.0000,76,56,34,-60,-16,-6
16,332409,1.0000,77,56,34,-62,-16,-6
16,332497,1.0000,74,57,34,-56,-14,-6
16,332498,1.0000,75,57,34,-58,-14,-6
16,332499,1.0000,76,57,34,-60,-14,-6
16,332500,1.0000,77,57,34,-62,-14,-6
16,334039,1.0000,69,74,34,-46,20,-6
16,341777,1.0000,72,50,35,-52,-28,-4
16,341778,1.0000,73,50,35,-54,-28,-4
16,341864,1.0000,68,51,35,-44,-26,-4
16,341865,1.0000,69,51,35,-46,-26,-4
16,341868,1.0000,72,51,35,-52,-26,-4
16,341869,1.0000,73,51,35,-54,-26,-4
16,342050,1.0000,72,53,35,-52,-22,-4
16,342051,1.0000,73,53,35,-54,-22,-4
16,342052,1.0000,74,53,35,-56,-22,-4
16,342053,1.0000,75,53,35,-58,-22,-4
16,342054,1.0000,76,53,35,-60,-22,-4
16,342055,1.0000,77,53,35,-62,-22,-4
16,342139,1.0000,70,54,35,-48,-20,-4
16,342140,1.0000,71,54,35,-50,-20,-4
16,342141,1.0000,72,54,35,-52,-20,-4
16,342142,1.0000,73,54,35,-54,-20,-4
16,342143,1.0000,74,54,35,-56,-20,-4
16,342144,1.0000,75,54,35,-58,-20,-4
16,342145,1.0000,76,54,35,-60,-20,-4
16,342146,1.0000,77,54,35,-62,-20,-4
16,342147,1.0000,78,54,35,-64,-20,-4
16,342231,1.0000,71,55,35,-50,-18,-4
16,342232,1.0000,72,55,35,-52,-18,-4
16,342233,1.0000,73,55,35,-54,-18,-4
16,342234,1.0000,74,55,35,-56,-18,-4
16,342235,1.0000,75,55,35,-58,-18,-4
16,342236,1.0000,76,55,35,-60,-18,-4
16,342237,1.0000,77,55,35,-62,-18,-4
16,342238,1.0000,78,55,35,-64,-18,-4
16,342323,1.0000,72,56,35,-52,-16,-4
16,342324,1.0000,73,56,35,-54,-16,-4
16,342325,1.0000,74,56,35,-56,-16,-4
16,342326,1.0000,75,56,35,-58,-16,-4
16,342327,1.0000,76,56,35,-60,-16,-4
16,342328,1.0000,77,56,35,-62,-16,-4
16,342329,1.0000,78,56,35,-64,-16,-4
16,342417,1.0000,75,57,35,-58,-14,-4
16,342418,1.0000,76,57,35,-60,-14,-4
16,342419,1.0000,77,57,35,-62,-14,-4
16,343959,1.0000,70,74,35,-48,20,-4
16,343960,1.0000,71,74,35,-50,20,-4
16,350875,1.0000,70,41,36,-48,-46,-2
16,351061,1.0000,74,43,36,-56,-42,-2
16,351152,1.0000,74,44,36,-56,-40,-2
16,351696,1.0000,72,50,36,-52,-28,-2
16,351697,1.0000,73,50,36,-54,-28,-2
16,351787,1.0000,72,51,36,-52,-26,-2
16,351788,1.0000,73,51,36,-54,-26,-2
16,351789,1.0000,74,51,36,-56,-26,-2
16,351972,1.0000,75,53,36,-58,-22,-2
16,351973,1.0000,76,53,36,-60,-22,-2
16,351974,1.0000,77,53,36,-62,-22,-2
16,351975,1.0000,78,53,36,-64,-22,-2
16,352061,1.0000,73,54,36,-54,-20,-2
16,352062,1.0000,74,54,36,-56,-20,-2
16,352063,1.0000,75,54,36,-58,-20,-2
16,352064,1.0000,76,54,36,-60,-20,-2
16,352065,1.0000,77,54,36,-62,-20,-2
16,352066,1.0000,78,54,36,-64,-20,-2
16,352152,1.0000,73,55,36,-54,-18,-2
16,352153,1.0000,74,55,36,-56,-18,-2
16,352154,1.0000,75,55,36,-58,-18,-2
16,352155,1.0000,76,55,36,-60,-18,-2
16,352156,1.0000,77,55,36,-62,-18,-2
16,352157,1.0000,78,55,36,-64,-18,-2
16,352245,1.0000,75,56,36,-58,-16,-2
16,352246,1.0000,76,56,36,-60,-16,-2
16,352247,1.0000,77,56,36,-62,-16,-2
16,353879,1.0000,71,74,36,-50,20,-2
16,353880,1.0000,72,74,36,-52,20,-2
16,353970,1.0000,71,75,36,-50,22,-2
16,353971,1.0000,72,75,36,-52,22,-2
16,354062,1.0000,72,76,36,-52,24,-2
16,360702,1.0000,69,40,37,-46,-48,0
16,360703,1.0000,70,40,37,-48,-48,0
16,360704,1.0000,71,40,37,-50,-48,0
16,360793,1.0000,69,41,37,-46,-46,0
16,360794,1.0000,70,41,37,-48,-46,0
16,360795,1.0000,71,41,37,-50,-46,0
16,360884,1.0000,69,42,37,-46,-44,0
16,360885,1.0000,70,42,37,-48,-44,0
16,360886,1.0000,71,42,37,-50,-44,0
16,360979,1.0000,73,43,37,-54,-42,0
16,360980,1.0000,74,43,37,-56,-42,0
16,360981,1.0000,75,43,37,-58,-42,0
16,361071,1.0000,74,44,37,-56,-40,0
16,361072,1.0000,75,44,37,-58,-40,0
16,361073,1.0000,76,44,37,-60,-40,0
16,361617,1.0000,74,50,37,-56,-28,0
16,361707,1.0000,73,51,37,-54,-26,0
16,361708,1.0000,74,51,37,-56,-26,0
16,361713,1.0000,79,51,37,-66,-26,0
16,361892,1.0000,76,53,37,-60,-22,0
16,361893,1.0000,77,53,37,-62,-22,0
16,361894,1.0000,78,53,37,-64,-22,0
16,361982,1.0000,75,54,37,-58,-20,0
16,361983,1.0000,76,54,37,-60,-20,0
16,361984,1.0000,77,54,37,-62,-20,0
16,361985,1.0000,78,54,37,-64,-20,0
16,362073,1.0000,75,55,37,-58,-18,0
16,362074,1.0000,76,55,37,-60,-18,0
16,362075,1.0000,77,55,37,-62,-18,0
16,363799,1.0000,72,74,37,-52,20,0
16,363889,1.0000,71,75,37,-50,22,0
16,363890,1.0000,72,75,37,-52,22,0
16,363981,1.0000,72,76,37,-52,24,0
16,363982,1.0000,73,76,37,-54,24,0
16,364073,1.0000,73,77,37,-54,26,0
16,370351,1.0000,72,37,38,-52,-54,2
16,370441,1.0000,71,38,38,-50,-52,2
16,370442,1.0000,72,38,38,-52,-52,2
16,370443,1.0000,73,38,38,-54,-52,2
16,370531,1.0000,70,39,38,-48,-50,2
16,370532,1.0000,71,39,38,-50,-50,2
16,370533,1.0000,72,39,38,-52,-50,2
16,370621,1.0000,69,40,38,-46,-48,2
16,370622,1.0000,70,40,38,-48,-48,2
16,370623,1.0000,71,40,38,-50,-48,2
16,370624,1.0000,72,40,38,-52,-48,2
16,370711,1.0000,68,41,38,-44,-46,2
16,370712,1.0000,69,41,38,-46,-46,2
16,370713,1.0000,70,41,38,-48,-46,2
16,370714,1.0000,71,41,38,-50,-46,2
16,370715,1.0000,72,41,38,-52,-46,2
16,370803,1.0000,69,42,38,-46,-44,2
16,370804,1.0000,70,42,38,-48,-44,2
16,370805,1.0000,71,42,38,-50,-44,2
16,370900,1.0000,75,43,38,-58,-42,2
16,371632,1.0000,79,51,38,-66,-26,2
16,371812,1.0000,77,53,38,-62,-22,2
16,371813,1.0000,78,53,38,-64,-22,2
16,371903,1.0000,77,54,38,-62,-20,2
16,373718,1.0000,72,74,38,-52,20,2
16,373719,1.0000,73,74,38,-54,20,2
16,373809,1.0000,72,75,38,-52,22,2
16,373810,1.0000,73,75,38,-54,22,2
16,373900,1.0000,72,76,38,-52,24,2
16,373901,1.0000,73,76,38,-54,24,2
16,373991,1.0000,72,77,38,-52,26,2
16,373992,1.0000,73,77,38,-54,26,2
16,374083,1.0000,73,78,38,-54,28,2
16,374174,1.0000,73,79,38,-54,30,2
16,380269,1.0000,71,37,39,-50,-54,4
16,380270,1.0000,72,37,39,-52,-54,4
16,380271,1.0000,73,37,39,-54,-54,4
16,380359,1.0000,70,38,39,-48,-52,4
16,380360,1.0000,71,38,39,-50,-52,4
16,380361,1.0000,72,38,39,-52,-52,4
16,380362,1.0000,73,38,39,-54,-52,4
16,380450,1.0000,70,39,39,-48,-50,4
16,380451,1.0000,71,39,39,-50,-50,4
16,380452,1.0000,72,39,39,-52,-50,4
16,380453,1.0000,73,39,39,-54,-50,4
16,380540,1.0000,69,40,39,-46,-48,4
16,380541,1.0000,70,40,39,-48,-48,4
16,380542,1.0000,71,40,39,-50,-48,4
16,380543,1.0000,72,40,39,-52,-48,4
16,380544,1.0000,73,40,39,-54,-48,4
16,380546,1.0000,75,40,39,-58,-48,4
16,380547,1.0000,76,40,39,-60,-48,4
16,380631,1.0000,69,41,39,-46,-46,4
16,380632,1.0000,70,41,39,-48,-46,4
16,380633,1.0000,71,41,39,-50,-46,4
16,380634,1.0000,72,41,39,-52,-46,4
16,380635,1.0000,73,41,39,-54,-46,4
16,380637,1.0000,75,41,39,-58,-46,4
16,380638,1.0000,76,41,39,-60,-46,4
16,380723,1.0000,70,42,39,-48,-44,4
16,380822,1.0000,78,43,39,-64,-42,4
16,380913,1.0000,78,44,39,-64,-40,4
16,380914,1.0000,79,44,39,-66,-40,4
16,383547,1.0000,73,73,39,-54,18,4
16,383637,1.0000,72,74,39,-52,20,4
16,383638,1.0000,73,74,39,-54,20,4
16,383728,1.0000,72,75,39,-52,22,4
16,383729,1.0000,73,75,39,-54,22,4
16,383819,1.0000,72,76,39,-52,24,4
16,383820,1.0000,73,76,39,-54,24,4
16,383910,1.0000,72,77,39,-52,26,4
16,383911,1.0000,73,77,39,-54,26,4
16,384002,1.0000,73,78,39,-54,28,4
16,384093,1.0000,73,79,39,-54,30,4
16,384184,1.0000,73,80,39,-54,32,4
16,390009,1.0000,74,35,40,-56,-58,6
16,390010,1.0000,75,35,40,-58,-58,6
16,390100,1.0000,74,36,40,-56,-56,6
16,390101,1.0000,75,36,40,-58,-56,6
16,390189,1.0000,72,37,40,-52,-54,6
16,390190,1.0000,73,37,40,-54,-54,6
16,390191,1.0000,74,37,40,-56,-54,6
16,390192,1.0000,75,37,40,-58,-54,6
16,390279,1.0000,71,38,40,-50,-52,6
16,390280,1.0000,72,38,40,-52,-52,6
16,390281,1.0000,73,38,40,-54,-52,6
16,390282,1.0000,74,38,40,-56,-52,6
16,390283,1.0000,75,38,40,-58,-52,6
16,390369,1.0000,70,39,40,-48,-50,6
16,390370,1.0000,71,39,40,-50,-50,6
16,390371,1.0000,72,39,40,-52,-50,6
16,390372,1.0000,73,39,40,-54,-50,6
16,390373,1.0000,74,39,40,-56,-50,6
16,390374,1.0000,75,39,40,-58,-50,6
16,390375,1.0000,76,39,40,-60,-50,6
